ticker,name,sector,industry,cik,index_member,sic_code,sic_desc
ICUI,ICU Medical,Health Care,Health Care Supplies,883984,SP600,3841,Surgical & Medical Instruments & Apparatus
IIIN,"Insteel Industries, Inc.",Industrials,Building Products,764401,SP600,3310,"Steel Works, Blast Furnaces & Rolling & Finishing Mills"
IIPR,"Innovative Industrial Properties, Inc.",Real Estate,Industrial REITs,1677576,SP600,6500,Real Estate
INDB,Independent Bank Corp.,Financials,Regional Banks,776901,SP600,6022,State Commercial Banks
INDV,Indivior,Health Care,Pharmaceuticals,1625297,SP600,2834,Pharmaceutical Preparations
INSP,"Inspire Medical Systems, Inc.",Health Care,Health Care Equipment,1609550,SP600,3841,Surgical & Medical Instruments & Apparatus
INSW,"International Seaways, Inc.",Energy,Oil & Gas Storage & Transportation,1679049,SP600,4400,Water Transportation
INVA,"Innoviva, Inc.",Health Care,Pharmaceuticals,1080014,SP600,2834,Pharmaceutical Preparations
INVX,"Innovex International, Inc.",Energy,Oil & Gas Equipment & Services,1042893,SP600,3533,Oil & Gas Field Machinery & Equipment
IOSP,"Innospec, Inc.",Materials,Specialty Chemicals,1054905,SP600,2800,Chemicals & Allied Products
IPAR,"Inter Parfums, Inc.",Consumer Staples,Household Products,822663,SP600,2844,"Perfumes, Cosmetics & Other Toilet Preparations"
IRDM,Iridium Communications,Communication Services,Alternative Carriers,1418819,SP600,4899,"Communications Services, NEC"
ITGR,Integer Holdings Corporation,Health Care,Health Care Equipment,1114483,SP600,3845,Electromedical & Electrotherapeutic Apparatus
ITRI,"Itron, Inc.",Information Technology,Electronic Equipment & Instruments,780571,SP600,3825,Instruments For Meas & Testing of  Electricity & Elec Signals
JBGS,JBG Smith,Real Estate,Office REITs,1689796,SP600,6798,Real Estate Investment Trusts
JBLU,JetBlue,Industrials,Passenger Airlines,1158463,SP600,4512,"Air Transportation, Scheduled"
JBSS,"John B. Sanfilippo & Son, Inc.",Consumer Staples,Packaged Foods & Meats,880117,SP600,2060,Sugar & Confectionery Products
JBTM,JBT Marel Corporation,Industrials,Industrial Machinery & Supplies & Components,1433660,SP600,3550,Special Industry Machinery (No Metalworking Machinery)
JJSF,J&J Snack Foods Corp.,Consumer Staples,Packaged Foods & Meats,785956,SP600,2052,Cookies & Crackers
JOE,St. Joe Company,Real Estate,Real Estate Development,745308,SP600,6552,Land Subdividers & Developers (No Cemeteries)
JXN,"Jackson Financial, Inc.",Financials,Life & Health Insurance,1822993,SP600,6311,Life Insurance
KAI,Kadant Inc.,Industrials,Industrial Machinery & Supplies & Components,886346,SP600,3550,Special Industry Machinery (No Metalworking Machinery)
KALU,Kaiser Aluminum Corporation,Materials,Aluminum,811596,SP600,3350,Rolling Drawing & Extruding of  Nonferrous Metals
OPLN,"OPENLANE, Inc.",Industrials,Diversified Support Services,1395942,SP600,5500,Retail-Auto Dealers & Gasoline Stations
KFY,Korn/Ferry International,Industrials,Human Resource & Employment Services,56679,SP600,7361,Services-Employment Agencies
KGS,"Kodiak Gas Services, Inc.",Energy,Oil & Gas Equipment & Services,1767042,SP600,4922,Natural Gas Transmission
KLIC,"Kulicke and Soffa Industries, Inc.",Information Technology,Semiconductor Materials & Equipment,56978,SP600,3674,Semiconductors & Related Devices
KMPR,Kemper Corporation,Financials,Multi-line Insurance,860748,SP600,6331,"Fire, Marine & Casualty Insurance"
KMT,Kennametal,Industrials,Industrial Machinery & Supplies & Components,55242,SP600,3541,"Machine Tools, Metal Cutting Types"
KMX,"CarMax, Inc.",Consumer Discretionary,Automotive Retail,1170010,SP600,5500,Retail-Auto Dealers & Gasoline Stations
KN,Knowles Corporation,Information Technology,Electronic Components,1587523,SP600,3651,Household Audio & Video Equipment
KNTK,"Kinetik Holdings, Inc.",Energy,Oil & Gas Storage & Transportation,1692787,SP600,4922,Natural Gas Transmission
KOP,"Koppers Holdings, Inc.",Materials,Commodity Chemicals,1315257,SP600,2400,Lumber & Wood Products (No Furniture)
KRYS,"Krystal Biotech, Inc.",Health Care,Biotechnology,1711279,SP600,2836,"Biological Products, (No Diagnostic Substances)"
KSS,Kohl's Corp.,Consumer Discretionary,Broadline Retail,885639,SP600,5311,Retail-Department Stores
KTB,Kontoor Brands,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1760965,SP600,2320,"Men's & Boys' Furnishgs, Work Clothg, & Allied Garments"
KW,"Kennedy-Wilson Holdings, Inc.",Real Estate,Real Estate Services,1408100,SP600,6500,Real Estate
KWR,Quaker Chemical Corporation,Materials,Specialty Chemicals,81362,SP600,2990,Miscellaneous Products of  Petroleum & Coal
LAUR,"Laureate Education, Inc.",Consumer Discretionary,Education Services,912766,SP600,8200,Services-Educational Services
LBRT,"Liberty Energy, Inc.",Energy,Oil & Gas Equipment & Services,1694028,SP600,1389,"Oil & Gas Field Services, NEC"
